,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
24,186.23543593883514,13.35564263136377,0.14911227226257323,0.019264734774119427,tanh,0.005,1e-07,0.01,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.01}",-0.08492279105029933,-0.15427257207804118,-0.21668811192025536,-0.2401867545340022,-0.10061297294250757,-0.1059458594227144,-0.24849444720098327,-0.49599029803818273,-0.16207745249926064,-0.34045189730999764,-0.21496431569962443,0.12034895432695439,5
25,182.70401628017424,16.547319261501357,0.14422607421875,0.0214719791788803,tanh,0.005,1e-07,0.05,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.05}",-0.0864810019334309,-0.15284719303058877,-0.22281799185589524,-0.24080224429747757,-0.10547351027664513,-0.10993833245656705,-0.2501625414015826,-0.4985934321108402,-0.1544985664281729,-0.34170042926314287,-0.21633152430543431,0.12062268391474268,13
26,186.3816884994507,16.384543323200646,0.14811222553253173,0.02205109052414205,tanh,0.005,1e-07,0.1,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 1e-07, 'l_r': 0.1}",-0.08788183926056763,-0.15441530372374318,-0.22334146560996565,-0.24209073715610158,-0.10876801624337855,-0.1107153888074506,-0.25117788677189895,-0.4987348814388489,-0.15678379923482458,-0.34105965795577703,-0.21749689762025567,0.11992734286220565,17
27,185.07303428649902,17.851912551305144,0.13925497531890868,0.02499672371474694,tanh,0.005,0.1,0.01,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 0.1, 'l_r': 0.01}",-0.08600877855834774,-0.15639519392643145,-0.21842914192011118,-0.24115358256314035,-0.09872172148550404,-0.10806163847803696,-0.25047150225067755,-0.49283178427809865,-0.1585242993490309,-0.3374310934288284,-0.2148028736238207,0.11931164874378707,3
28,182.20131795406343,20.626445873848105,0.13345565795898437,0.018734086262931635,tanh,0.005,0.1,0.05,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 0.1, 'l_r': 0.05}",-0.08579850335752777,-0.15274035193992302,-0.2219814255749902,-0.24002083787379924,-0.10321711763585793,-0.10726893086738641,-0.24896430157035437,-0.49768076954767854,-0.15419439306684554,-0.34057307413101867,-0.21524397055653816,0.12077780591085674,6
29,188.36039259433747,17.551548456864317,0.15462522506713866,0.018863055473305104,tanh,0.005,0.1,0.1,"{'activ': 'tanh', 'd_c': 0.005, 'eps': 0.1, 'l_r': 0.1}",-0.08706102639045396,-0.1511991004579963,-0.22312741012969378,-0.23915717497321787,-0.10499741985836,-0.10918100171643003,-0.2504113755556133,-0.49746778687390064,-0.1536338965625957,-0.3404507275873794,-0.2156686920105641,0.12038605236393259,8
30,182.27739713191986,25.602279343873473,0.1420001983642578,0.0238451057558403,tanh,0.01,1e-07,0.01,"{'activ': 'tanh', 'd_c': 0.01, 'eps': 1e-07, 'l_r': 0.01}",-0.08227531696931394,-0.15522752667120557,-0.21673565393172947,-0.23693137615857693,-0.09901090861178666,-0.10671250344013616,-0.246707305343019,-0.4931300340785278,-0.1564058804406912,-0.33794273029711636,-0.2131079235942103,0.1198859017389902,1
31,170.90624067783355,21.239940336678973,0.14946813583374025,0.02448801578272362,tanh,0.01,1e-07,0.05,"{'activ': 'tanh', 'd_c': 0.01, 'eps': 1e-07, 'l_r': 0.05}",-0.08595416721420582,-0.15442443299017677,-0.22151004186309764,-0.23928131966031813,-0.10424462251901387,-0.1084175568961023,-0.24944910025734404,-0.4988853155819697,-0.154178344890243,-0.3409055775388786,-0.215725047941135,0.12079097829661466,9
32,183.32544708251953,23.53486085257325,0.14169297218322754,0.02216809629800341,tanh,0.01,1e-07,0.1,"{'activ': 'tanh', 'd_c': 0.01, 'eps': 1e-07, 'l_r': 0.1}",-0.08664616943043169,-0.15373281460074692,-0.22304847245819684,-0.2395927958604122,-0.10606313559539386,-0.10996725970999566,-0.2505110967892202,-0.49905926828601044,-0.15480007375939558,-0.3409852324921858,-0.2164406318981989,0.12050864530069427,14
33,189.34735057353973,16.576205185784655,0.13879115581512452,0.018642054577761698,tanh,0.01,0.1,0.01,"{'activ': 'tanh', 'd_c': 0.01, 'eps': 0.1, 'l_r': 0.01}",-0.09470145195812565,-0.15660864662989119,-0.22428994740695196,-0.25286711048851707,-0.10453550985906651,-0.1270477241928431,-0.2626070607964338,-0.49028253109293934,-0.16268609231952744,-0.3445585294207751,-0.2220184604165071,0.11679725688970981,33
