,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
161,0.007920122146606446,6.430129188023101e-05,0.09429047107696534,0.015123926950840914,10,27,3,distance,"{'leaf_size': 10, 'n_neighbors': 27, 'p': 3, 'weights': 'distance'}",-0.1316677495183681,-0.19883979267153926,-0.29658140510850173,-0.3201736709242966,-0.13965367297980769,-0.18474632493767115,-0.2848085225897507,-0.5651369878623663,-0.2359698511385669,-0.4287605442404517,-0.27863385219713205,0.12830610679480173,367
162,0.008048319816589355,5.111823885436095e-05,0.05774564743041992,0.008531401247780322,10,28,1,uniform,"{'leaf_size': 10, 'n_neighbors': 28, 'p': 1, 'weights': 'uniform'}",-0.1322055546907642,-0.19037507073692908,-0.27463355624704305,-0.3229571682035885,-0.1364570742920694,-0.17899330265307672,-0.28212613824527677,-0.5657838609240925,-0.22333489589656896,-0.4243279894679488,-0.2731194611357358,0.12953836786945835,118
163,0.007936573028564453,8.142001108750508e-05,0.05718836784362793,0.008655487196564319,10,28,1,distance,"{'leaf_size': 10, 'n_neighbors': 28, 'p': 1, 'weights': 'distance'}",-0.1315988976205003,-0.18864247309178658,-0.27054829906529687,-0.3182679061798632,-0.13540407753276282,-0.17665745089793958,-0.28324698312897006,-0.5632819022982632,-0.22265460359647973,-0.42110623144833365,-0.27114088248601964,0.12891249665310717,70
164,0.008052325248718262,0.00016921009997474806,0.036232590675354004,0.005734763168712406,10,28,2,uniform,"{'leaf_size': 10, 'n_neighbors': 28, 'p': 2, 'weights': 'uniform'}",-0.13240312690306222,-0.19750932519448633,-0.2906436321782601,-0.3221974424849108,-0.13674140016639946,-0.18514196034794062,-0.2868079887851569,-0.5633486293968901,-0.2314815649961242,-0.42752087978479614,-0.27737959502380266,0.12821275729298517,292
165,0.007921814918518066,8.637541858848366e-05,0.03541266918182373,0.005780391775579808,10,28,2,distance,"{'leaf_size': 10, 'n_neighbors': 28, 'p': 2, 'weights': 'distance'}",-0.13153546767617869,-0.1959396721946113,-0.2866349536736273,-0.317330689487509,-0.13624252565381903,-0.1821689871598407,-0.2868754146371435,-0.561787526442506,-0.23083161986358597,-0.4242459913994929,-0.27535928481883143,0.12776663579026473,184
166,0.007976770401000977,8.252892779284791e-05,0.0937840223312378,0.01445909015213425,10,28,3,uniform,"{'leaf_size': 10, 'n_neighbors': 28, 'p': 3, 'weights': 'uniform'}",-0.1316080441097934,-0.2005296250240476,-0.3007631161966511,-0.3267979212131176,-0.1401177659098514,-0.1880250374245303,-0.2852032886649306,-0.5672058766569275,-0.23704306662588506,-0.43314184138294703,-0.28104355832086814,0.12914504249764938,433
167,0.007940673828125,9.76331621124629e-05,0.09430069923400879,0.014638106560209595,10,28,3,distance,"{'leaf_size': 10, 'n_neighbors': 28, 'p': 3, 'weights': 'distance'}",-0.13058209557823708,-0.1990358878510171,-0.2966009035118392,-0.32130353312986654,-0.13932649734150085,-0.1848283224787337,-0.2850655745986527,-0.5656919241171885,-0.23600210996668478,-0.42952342685576905,-0.27879602754294897,0.1286985864638011,376
168,0.008022212982177734,0.00011607029415422288,0.05825769901275635,0.00884166388208295,10,29,1,uniform,"{'leaf_size': 10, 'n_neighbors': 29, 'p': 1, 'weights': 'uniform'}",-0.13194535476699526,-0.1908542131180828,-0.2751068535802198,-0.3227992188360865,-0.13618163474604844,-0.17956501540976677,-0.2827836940805277,-0.5638069727986527,-0.2232137832065265,-0.4242892565850709,-0.2730545997127977,0.12907734058178197,115
169,0.007957792282104493,6.732648554076172e-05,0.057749366760253905,0.008764988843169643,10,29,1,distance,"{'leaf_size': 10, 'n_neighbors': 29, 'p': 1, 'weights': 'distance'}",-0.13116278802780765,-0.1890028644493861,-0.27083370578624105,-0.31825973522025713,-0.13508120650658106,-0.17720434154760403,-0.2837307021073612,-0.561639146320384,-0.22250963316149555,-0.42118082118347433,-0.27106049443105923,0.1285775145849548,58
170,0.00811309814453125,9.970953447792728e-05,0.0364424467086792,0.005966658850637823,10,29,2,uniform,"{'leaf_size': 10, 'n_neighbors': 29, 'p': 2, 'weights': 'uniform'}",-0.13159971799415454,-0.1973422988381674,-0.2917047070387626,-0.32286515184424064,-0.13682678474089088,-0.1853364984036162,-0.2865989799512627,-0.5640652068544106,-0.23200769194482818,-0.429921722877875,-0.2778268760488209,0.1287471386090127,319
171,0.007950735092163087,4.322612343984672e-05,0.03638367652893067,0.00592204087412955,10,29,2,distance,"{'leaf_size': 10, 'n_neighbors': 29, 'p': 2, 'weights': 'distance'}",-0.13069820662224088,-0.1958475633469035,-0.287523621142953,-0.31790375184005953,-0.13623256142062395,-0.18245961219981324,-0.2867634055833213,-0.5624054018485243,-0.23106952855039198,-0.4262289995257978,-0.27571326520806294,0.12823457648471923,193
172,0.007986760139465332,9.063591019448436e-05,0.09525785446166993,0.01474675254477806,10,29,3,uniform,"{'leaf_size': 10, 'n_neighbors': 29, 'p': 3, 'weights': 'uniform'}",-0.13181767595541463,-0.20093247390554608,-0.30111407080624064,-0.3277801110434047,-0.13966208590147508,-0.1881799057068351,-0.2847242039988742,-0.5660133848296788,-0.23760831522591258,-0.4326516686778083,-0.281048389605119,0.1288327007302222,436
