,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1294,2.4949743032455443,0.04840655559562645,0.029526066780090333,0.0011115989543549235,poisson,8,3,2,300,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 300}",-0.6944943294877449,-0.8528370497871954,-1.1940447530761384,-1.2532558345711386,-0.9947374544452776,-0.7933302931499501,-0.7226890157593133,-1.1122060199254402,-0.878392549411572,-1.1277120763057045,-0.9623699375919473,0.1912989017425406,1587
1295,0.08375098705291747,0.000965523136943277,0.0025493144989013673,3.932536493491061e-05,poisson,8,3,4,10,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 4, 'n_estimators': 10}",-0.6947486233439193,-0.8492600521839687,-1.189209014744123,-1.2510833717136745,-1.00374754564646,-0.7966439290865591,-0.7237026121520723,-1.118018960590884,-0.8805313820114399,-1.1239242904615263,-0.9630869781934628,0.19036401223903038,1595
1296,0.16595089435577393,0.001956551613521544,0.0034631967544555666,5.360454048428926e-05,poisson,8,3,4,20,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 4, 'n_estimators': 20}",-0.6967400004365387,-0.8527704735517437,-1.1906211594330696,-1.2526447803981187,-1.0021331486373823,-0.7990797521516404,-0.7216818488763574,-1.1121268886803917,-0.8780720942361373,-1.1192434646140759,-0.9625113611015456,0.189538212136908,1590
1297,0.4160899639129639,0.010665608906094108,0.006260991096496582,0.00016212576452029234,poisson,8,3,4,50,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 4, 'n_estimators': 50}",-0.6938262574426057,-0.8554242379622008,-1.1911266482028597,-1.25111227686223,-0.9970010767375684,-0.7925105196954401,-0.7219613841594763,-1.1133673930195365,-0.8745265146688643,-1.1233446770309368,-0.961420098578172,0.1906628478379531,1571
1298,0.8307070016860962,0.022095736201684087,0.010920071601867675,0.0002361669661790894,poisson,8,3,4,100,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 4, 'n_estimators': 100}",-0.6928935668924016,-0.8543601736772923,-1.1917253051343533,-1.2561102819508745,-0.9940741050506529,-0.7986964896155813,-0.7234881735846209,-1.1120926267061024,-0.8765696394310668,-1.1268778309688552,-0.9626888193011801,0.19101569357014067,1594
1299,1.2465425729751587,0.03445363151306885,0.015476369857788086,0.00023230699860302953,poisson,8,3,4,150,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 4, 'n_estimators': 150}",-0.6942396882235715,-0.8526572442530321,-1.1932969713853485,-1.2534695182962268,-0.9934635091341505,-0.7928483931546645,-0.7233805650848709,-1.1148594599933208,-0.8746959170403822,-1.1291322542648177,-0.9622043520830384,0.19172022202110045,1580
1300,1.6472150802612304,0.010264248528572727,0.020171260833740233,0.0006597725871044883,poisson,8,3,4,200,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 4, 'n_estimators': 200}",-0.6935231506378977,-0.8505494423707745,-1.1916064282854408,-1.2515462502194106,-0.9974185276891745,-0.7939223404216075,-0.7247142593966721,-1.1117233535184652,-0.8769306881066307,-1.1257201731066613,-0.9617654613752734,0.19061057111957633,1574
1301,2.497914719581604,0.07577160599514006,0.03225886821746826,0.006803535446924807,poisson,8,3,4,300,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 4, 'n_estimators': 300}",-0.6940068498436026,-0.8535408341209159,-1.1911639398665228,-1.256677963255362,-0.9969317351648764,-0.7926289567009428,-0.7243065919858968,-1.1122987236133015,-0.8762536482201155,-1.1285934197242475,-0.9626402662495783,0.1915806035199477,1592
1302,0.08366127014160156,0.0011082491819414206,0.002525734901428223,2.6031564174241492e-05,poisson,8,3,8,10,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 10}",-0.6879970687483672,-0.8558185251371769,-1.182493745318062,-1.2477271245746329,-0.9895419522425958,-0.8009437980832632,-0.7237666050877095,-1.1040461039011964,-0.875235603390519,-1.1260106047392584,-0.9593581131222783,0.18830752563238842,1557
1303,0.16621105670928954,0.0008939389899433728,0.0034735441207885743,7.556495857658581e-05,poisson,8,3,8,20,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 20}",-0.6974999471351007,-0.8505989732057374,-1.194670846655111,-1.249710689572767,-1.0056609771225318,-0.7822505653162585,-0.7210572439234644,-1.1145310991701505,-0.8770418753947434,-1.1308345307712233,-0.9623856748267088,0.19249426300352065,1588
1304,0.42134201526641846,0.01910631123560256,0.006247210502624512,8.180641758294295e-05,poisson,8,3,8,50,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 50}",-0.6954048150509504,-0.8532041928520735,-1.1914532635216617,-1.2513126765322156,-0.9974882706528406,-0.7922823016165373,-0.723015907214602,-1.1128105798695913,-0.8785212985010024,-1.1292805512454618,-0.9624773857056936,0.19082192871768117,1589
1305,0.8335795402526855,0.031312512324093066,0.0109328031539917,0.0003302607901379039,poisson,8,3,8,100,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 100}",-0.6945862229977707,-0.8544279325040962,-1.1925087035207285,-1.251192249220699,-0.996451107896003,-0.791961758051974,-0.7232395182608199,-1.1114945845710074,-0.8760775099695365,-1.1273653622748907,-0.9619304949267526,0.19079614966877217,1576
1306,1.2365631580352783,0.010847325151137453,0.015572643280029297,0.0005121796370764324,poisson,8,3,8,150,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 150}",-0.6960081398426861,-0.8518366371062954,-1.1906523890031975,-1.2522147485789705,-0.9958442030423592,-0.793924518169962,-0.7240539426817526,-1.1105479760865953,-0.8757726121494581,-1.130180704996308,-0.9621035871657584,0.19057638394981963,1578
1307,1.6662156105041503,0.05982747516622883,0.020647048950195312,0.0014438562459174352,poisson,8,3,8,200,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 200}",-0.6953620457927518,-0.8540489472310682,-1.191358317258384,-1.256134844052203,-0.9948046885872199,-0.7927500274837156,-0.7225408148277523,-1.112852897916442,-0.8737374360147105,-1.128491468960031,-0.9622081488124279,0.19162411845605878,1581
1308,2.4986653327941895,0.07946241149878318,0.029575824737548828,0.0009183511610110286,poisson,8,3,8,300,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 300}",-0.6942793182278931,-0.8518036433129774,-1.1935395725583529,-1.25506164875394,-0.9970118077424973,-0.7913524379349982,-0.7236889956719288,-1.1116749065600047,-0.8750446395866729,-1.1291597929583814,-0.9622616763307648,0.19192638693147532,1582
1309,0.08378887176513672,0.0014394511120162446,0.00267946720123291,0.00014786324508042726,poisson,8,3,16,10,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 16, 'n_estimators': 10}",-0.6992860873541223,-0.8456887500060137,-1.1858840855614268,-1.2607604858574797,-0.9932056070426047,-0.7854597716927715,-0.7229099530199556,-1.1114725035447168,-0.8831259091343757,-1.135057952728734,-0.9622851105942202,0.19228741632901625,1585
1310,0.16702532768249512,0.007975779729776774,0.003481483459472656,7.399079279853854e-05,poisson,8,3,16,20,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 16, 'n_estimators': 20}",-0.692944587264351,-0.8506643923887207,-1.1851355021856986,-1.2446757902162449,-0.9939759143501516,-0.7843172175581246,-0.7216148898850603,-1.1114373522858048,-0.8771845053820663,-1.1244153908967152,-0.9586365542412938,0.18990812007553654,1546
1311,0.4161525726318359,0.015499714760893539,0.006246685981750488,0.00016375896867276246,poisson,8,3,16,50,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 16, 'n_estimators': 50}",-0.6936862871751653,-0.8535830767653438,-1.19228499141345,-1.256552915251509,-0.9975546282205148,-0.7923477333786901,-0.7243049532304164,-1.114315039690909,-0.878219898918384,-1.1296803732047231,-0.9632529897249105,0.19193853643348197,1598
1312,0.8354060173034668,0.031385286787294055,0.011568355560302734,0.00151160606340802,poisson,8,3,16,100,"{'criterion': 'poisson', 'max_depth': 8, 'max_features': 3, 'min_samples_split': 16, 'n_estimators': 100}",-0.6947282453715546,-0.8542734814293639,-1.1899606178585216,-1.255942316282665,-0.9922857780177093,-0.7904645575651662,-0.7251056423941666,-1.112862941527112,-0.877546000142504,-1.129455247557159,-0.9622624828145921,0.1912591361030369,1583
