,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_d_c,param_eps,param_l_r,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22,7.3403972625732425,1.6616893321196733,0.09579439163208008,0.008802044481260757,0.001,0.1,0.1,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.1}",-0.0929307604090348,-0.12411302994004188,-0.23339668144675094,-0.22605294898754502,-0.10971228955295974,-0.15724114206726647,0.06004501606841655,1
23,7.828447151184082,2.2983438477358105,0.11700019836425782,0.021686606669529648,0.001,0.1,0.5,"{'d_c': 0.001, 'eps': 0.1, 'l_r': 0.5}",-0.09412745904639067,-0.1355219502967926,-0.23302349027772376,-0.27532503312223894,-0.12701177688833687,-0.17300194192629656,0.06901250663573216,34
24,6.954092884063721,1.8351674584680637,0.10635871887207031,0.01565049591464434,0.0005,1e-07,0.01,"{'d_c': 0.0005, 'eps': 1e-07, 'l_r': 0.01}",-0.10083647503290458,-0.1252593675883743,-0.24024478662179563,-0.2571850243440376,-0.11559154792461673,-0.1678234403023458,0.06671951511893696,21
25,8.130682945251465,2.157434716957797,0.11112656593322753,0.01330087978659259,0.0005,1e-07,0.05,"{'d_c': 0.0005, 'eps': 1e-07, 'l_r': 0.05}",-0.1126273334732158,-0.13813438255718657,-0.24305471593113936,-0.2271415541064559,-0.1125234466002407,-0.16669628653364768,0.05684746387001342,18
26,7.735522651672364,1.4595299809791331,0.10592832565307617,0.01671978187684939,0.0005,1e-07,0.1,"{'d_c': 0.0005, 'eps': 1e-07, 'l_r': 0.1}",-0.10124172167498457,-0.14789446876836276,-0.24019465510571275,-0.25739548902904186,-0.11274023070457147,-0.17189331305653469,0.06487275925286975,31
27,8.200166368484497,2.1290426874738686,0.09666104316711426,0.008122431338068238,0.0005,1e-07,0.5,"{'d_c': 0.0005, 'eps': 1e-07, 'l_r': 0.5}",-0.13703303319069005,-0.14725118930060652,-0.25566849966260397,-0.29220163363872975,-0.16858274825733743,-0.20014742080999354,0.06218413637301205,50
28,6.977838754653931,1.8352182563164119,0.10796957015991211,0.010570143522920713,0.0005,0.0001,0.01,"{'d_c': 0.0005, 'eps': 0.0001, 'l_r': 0.01}",-0.10117483822248553,-0.13424871298090327,-0.23750049340187204,-0.23695127797067472,-0.10836592600792946,-0.163648249716773,0.06107517182486391,8
29,7.129547595977783,1.7473982049644834,0.10741562843322754,0.008908073199286007,0.0005,0.0001,0.05,"{'d_c': 0.0005, 'eps': 0.0001, 'l_r': 0.05}",-0.1390077118414094,-0.1412483197651282,-0.2529002154510931,-0.24213446245048326,-0.10606347973443318,-0.17627083784850942,0.05958904097826884,39
30,7.479643964767456,1.5931114747208803,0.12305746078491211,0.014793020847572213,0.0005,0.0001,0.1,"{'d_c': 0.0005, 'eps': 0.0001, 'l_r': 0.1}",-0.10162901914964657,-0.1310953345518554,-0.2588150902424563,-0.2495611142760924,-0.1099916623628914,-0.17021844411658843,0.06929215997861432,27
31,8.6963481426239,1.747430464467062,0.10143399238586426,0.009486976140848138,0.0005,0.0001,0.5,"{'d_c': 0.0005, 'eps': 0.0001, 'l_r': 0.5}",-0.17404957237910124,-0.18403012288923784,-0.28348239329402936,-0.2559373029847887,-0.16666726038360696,-0.2128333303861528,0.04756963991935379,56
