,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activ,param_drop,param_n_layer,param_n_neur,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
22,277.1523795604706,31.329918935165182,0.2276154041290283,0.03717569481288789,tanh,0.2,4,10,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 4, 'n_neur': 10}",-0.6098378948719413,-0.7508451558239956,-1.0133115676120337,-1.05359730457757,-0.8407744929233365,-0.7200113576979884,-0.6948639867507758,-0.9787755918591171,-0.7653116075201184,-0.9153231468644303,-0.8342652106501308,0.14220687204294388,72
23,297.63816533088686,31.459124630833983,0.16880519390106202,0.0355067775257278,tanh,0.2,4,15,"{'activ': 'tanh', 'drop': 0.2, 'n_layer': 4, 'n_neur': 15}",-0.6083158549738195,-0.7497629306592464,-1.0136234473057673,-1.047368788352169,-0.8387990269323848,-0.7184277012044125,-0.6960951416148023,-0.9766391099742621,-0.761900173188239,-0.9180468725605684,-0.8328979046765671,0.1417087887442278,71
24,192.11789264678956,14.861839035881948,0.1341546058654785,0.01839276969242368,tanh,0.4,1,5,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 1, 'n_neur': 5}",-0.11956381012518422,-0.19418744521755557,-0.256275021975915,-0.2774840257791066,-0.1387683367033196,-0.15508239639512084,-0.2850951978749021,-0.5239294894425718,-0.21073100297364908,-0.4124496722677362,-0.2573566398755061,0.12081597974315499,20
25,189.12235498428345,20.842072565037228,0.13099308013916017,0.02115433022527001,tanh,0.4,1,10,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 1, 'n_neur': 10}",-0.11289716648732886,-0.16924987812953368,-0.2599950752571038,-0.26791749778572355,-0.13834061924420993,-0.15754055945020615,-0.28439423040412554,-0.5166058640115875,-0.1739344251885221,-0.38610894980702765,-0.2466984265765369,0.11967436512547991,14
26,195.4462735414505,9.312971983364507,0.16700398921966553,0.03155657436082529,tanh,0.4,1,15,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 1, 'n_neur': 15}",-0.11685879528251517,-0.1719764777981238,-0.25799024047493435,-0.2750078626084623,-0.14586108123613717,-0.15612060461503158,-0.2843435726997035,-0.5165615563437915,-0.17069565487982172,-0.3791433982301323,-0.24745592441686534,0.11802489584257152,15
27,212.19565472602844,25.998010600810964,0.17146010398864747,0.041407848771861065,tanh,0.4,2,5,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 2, 'n_neur': 5}",-0.2966117106065634,-0.3847603157849235,-0.4360554830845523,-0.6123284257552585,-0.416783300136978,-0.35066174777285747,-0.4338292391570152,-0.6187120894574892,-0.4146855506769096,-0.5924037105454806,-0.45568315729780273,0.10734467642123573,44
28,243.61914098262787,23.88503818666172,0.1492313861846924,0.02245531288108178,tanh,0.4,2,10,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 2, 'n_neur': 10}",-0.2805946120352528,-0.3906681601065842,-0.5224723906382839,-0.6062066804208563,-0.37959504425298235,-0.34748700663253246,-0.41201504838580005,-0.6830139848511488,-0.4071161535650448,-0.5798998316805601,-0.4609068912569046,0.12271868650885802,46
29,244.48384773731232,22.40678091179189,0.17209944725036622,0.020323260268920017,tanh,0.4,2,15,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 2, 'n_neur': 15}",-0.2854663246227507,-0.3878051471048042,-0.5445780915934607,-0.5984937279023727,-0.3753222346548981,-0.3398267354356213,-0.43210250501908426,-0.5918148908430733,-0.4097773793307908,-0.6006377053125164,-0.4565824741819372,0.11133639160692353,45
30,214.7023770093918,24.749575326890056,0.17121562957763672,0.026783366559207177,tanh,0.4,3,5,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 3, 'n_neur': 5}",-0.614358053751392,-0.758270500105699,-1.004247915598985,-1.070990706778042,-0.8602162414680941,-0.7281803086547599,-0.6870483243209017,-0.9878684329865767,-0.7499322380348437,-0.9089720063641981,-0.837008472806349,0.14452666151013982,95
31,255.48387987613677,6.2705362252699,0.19447774887084962,0.036145712877052025,tanh,0.4,3,10,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 3, 'n_neur': 10}",-0.6144265447152243,-0.7577251415847824,-1.0045567269050082,-1.070235806891854,-0.853775998382358,-0.7249653803521228,-0.6893229302129262,-0.987119358593356,-0.7517598671340744,-0.9091335983977283,-0.8363021353169435,0.14420105392338978,83
32,279.6026398420334,22.11200863350842,0.1785890579223633,0.0356008210291375,tanh,0.4,3,15,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 3, 'n_neur': 15}",-0.61237369071928,-0.7547622200109686,-1.0068342742116732,-1.0631339579102645,-0.8469377131226888,-0.7230788299007913,-0.6909204868947089,-0.9825879985784122,-0.7555589616509932,-0.9114769795645171,-0.8347665112564299,0.1431578632162896,73
33,242.06933743953704,26.452125838502976,0.18905577659606934,0.033767186187897945,tanh,0.4,4,5,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 4, 'n_neur': 5}",-0.6144444779772734,-0.7581233988800872,-1.004232719774132,-1.0710486072922643,-0.8587252699352267,-0.7279820376553796,-0.6861574542971549,-0.9873278678547364,-0.7424614574702966,-0.9089452391811653,-0.8359448530317717,0.1450204732974512,78
34,293.14813153743745,30.898498099995496,0.183343505859375,0.03188895642104961,tanh,0.4,4,10,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 4, 'n_neur': 10}",-0.6141090185341523,-0.7577210717450741,-1.0046578375857595,-1.0694532726693324,-0.8523428935433072,-0.7271414071506321,-0.688913600489664,-0.986842366984446,-0.7501139325169827,-0.9093100903902867,-0.8360605491609636,0.1440711477872514,80
35,272.6593729496002,25.956066529190963,0.19521782398223878,0.03636681453960304,tanh,0.4,4,15,"{'activ': 'tanh', 'drop': 0.4, 'n_layer': 4, 'n_neur': 15}",-0.6131424516072803,-0.7556127773769359,-1.0066948086845386,-1.0621726339180682,-0.8463232272574613,-0.7223638088735274,-0.690798525795085,-0.9846332823479202,-0.7588062410088668,-0.9104201373378791,-0.8350967894207564,0.14286445308212786,75
36,200.30959253311158,4.83972939512047,0.15831234455108642,0.035607547870987064,tanh,0.6,1,5,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 1, 'n_neur': 5}",-0.15571576248715682,-0.23422014187119272,-0.32423225811483636,-0.37103245762681697,-0.17988031002221969,-0.1891599907358637,-0.2958369734304871,-0.565321537919631,-0.25153192330108853,-0.40553094061814965,-0.2972462296127443,0.11887596120386679,25
37,194.93444170951844,16.083054997637973,0.14756519794464112,0.019770971921243215,tanh,0.6,1,10,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 1, 'n_neur': 10}",-0.11528028436183314,-0.1964253900544533,-0.2614820647494422,-0.30469138393701123,-0.13875557077043865,-0.1559646962924906,-0.28913881533750824,-0.5334153905188567,-0.1983786670325361,-0.40060481616995,-0.259413707922452,0.12315726183611173,21
38,198.39912869930268,4.123160007790313,0.14730541706085204,0.018514066178020892,tanh,0.6,1,15,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 1, 'n_neur': 15}",-0.11373499434926836,-0.16784857059254016,-0.2719739233536321,-0.30644807392135553,-0.13657362551028132,-0.15764433421498475,-0.28516894345536975,-0.5227559470335985,-0.1910774900812149,-0.3898087500474041,-0.2543034652559649,0.12200293880352077,19
39,220.89765679836273,28.01339422701388,0.16963136196136475,0.03457008829642697,tanh,0.6,2,5,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 2, 'n_neur': 5}",-0.45481863076583245,-0.5492521186103053,-0.7705120332384107,-0.845887810788542,-0.6148304687001604,-0.7278638594699081,-0.6052980262472775,-0.837848675311545,-0.7425226604722677,-0.8119718504759634,-0.6960806134080212,0.1262090522171015,61
40,233.62094221115112,29.208297548492805,0.15195438861846924,0.022031652892035465,tanh,0.6,2,10,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 2, 'n_neur': 10}",-0.6141748892379465,-0.7584649914840683,-0.7308218540944197,-0.9349382101159595,-0.8646047903219855,-0.7281340351003321,-0.5268101531352669,-0.9878819364601571,-0.5467295694426149,-0.7264253139940001,-0.741898574338675,0.14639749459628856,65
41,237.07189145088196,16.96125647722037,0.1698127269744873,0.02553372672449205,tanh,0.6,2,15,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 2, 'n_neur': 15}",-0.6144205552170938,-0.7583509968391607,-0.7827524861804319,-1.0713181271080645,-0.5690693539136605,-0.7270458668824941,-0.6874263518778475,-0.9875631576113703,-0.7456407403547386,-0.9092732360668498,-0.785286087205171,0.15143314787008505,70
42,221.95641815662384,27.043512315031446,0.20848186016082765,0.04605029684547153,tanh,0.6,3,5,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 3, 'n_neur': 5}",-0.614447296564629,-0.7584149402822705,-1.004300516531168,-1.0708333226530191,-0.8686368191368097,-0.7277486400395898,-0.6868130804903448,-0.9878452158004629,-0.7422960673196614,-0.9087717199577581,-0.8370107618775714,0.14516885148832614,96
43,263.2273552179337,21.85992313389927,0.2002246618270874,0.0359283015108354,tanh,0.6,3,10,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 3, 'n_neur': 10}",-0.6143192036110775,-0.7581420262233677,-1.0042093357419435,-1.071073171146783,-0.8650618815620846,-0.7281330717847011,-0.6869715562355935,-0.9878778152493631,-0.7458895666866685,-0.909252006921686,-0.8370929635163268,0.14490963804653048,107
44,269.12293577194214,18.02303018615739,0.19866626262664794,0.04400896909441152,tanh,0.6,3,15,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 3, 'n_neur': 15}",-0.6143184602223695,-0.758405822276001,-1.0045327642581248,-1.0707416468388335,-0.8562252479289328,-0.7276886392374176,-0.6870905699647187,-0.9875136053436454,-0.7472407264012284,-0.9089260538356911,-0.8362683536306964,0.14461569596926366,82
45,249.68335502147676,17.70666406069439,0.1871629238128662,0.0346563257106134,tanh,0.6,4,5,"{'activ': 'tanh', 'drop': 0.6, 'n_layer': 4, 'n_neur': 5}",-0.6143051761893668,-0.7584876691231093,-1.0041409869292746,-1.0708616588137674,-0.8681522551274108,-0.7280627841477525,-0.6860992437298025,-0.9880819602967118,-0.7444209416746823,-0.9089558537537473,-0.8371568529785623,0.145109411650324,112
