,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
155,2.6280126571655273,0.07919504645385983,0.493617582321167,0.008592998310168708,0.1,3,0.1,scale,sigmoid,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'sigmoid'}",-6.142306861139714,-14.0051850918904,-10.070529955232903,-14.323054000014839,-15.323281655734542,-11.97287151280248,3.4203301563352757,321
156,1.1043884754180908,0.04512357604689944,0.14501242637634276,0.006757731822596804,0.1,3,0.1,auto,linear,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",-0.16737814353802077,-0.28036088673048914,-0.21272147272755373,-0.4036028988692419,-0.3046097534155188,-0.27373463105616486,0.08111381553861834,101
157,1.7429796695709228,0.029287086518651948,0.18183388710021972,0.005345723708280181,0.1,3,0.1,auto,poly,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",-0.3499177624150947,-0.6292359117220644,-0.43143381558865007,-0.517420034763182,-0.5750009561238969,-0.5006016961225777,0.09985460570387926,222
158,1.183823013305664,0.043086495470756395,0.31267895698547366,0.017812734856723494,0.1,3,0.1,auto,rbf,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",-0.14577953439365646,-0.2915591971453277,-0.15428394461170208,-0.3850641430570666,-0.3001405189671746,-0.25536546763498547,0.09204682367685474,45
159,2.631579875946045,0.06510963012056724,0.5037271022796631,0.005967713075201054,0.1,3,0.1,auto,sigmoid,"{'C': 0.1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'auto', 'kernel': 'sigmoid'}",-10.63687348009559,-20.77877616128545,-16.040865838672843,-19.17427632621785,-21.698517396816204,-17.665861840617588,4.006872846542986,333
160,0.10214457511901856,0.013574668556443101,0.010251092910766601,0.0019318369760552155,0.1,3,1,scale,linear,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'linear'}",-0.23031150327835276,-0.33722575866677323,-0.34956538415144056,-0.4359428848703511,-0.3849112913365875,-0.34759136446070105,0.06791859314927504,156
161,0.32527313232421873,0.020871367065475665,0.04004669189453125,0.0025945935582314976,0.1,3,1,scale,poly,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'poly'}",-0.491488387345338,-0.8212419843335842,-0.5319000208835003,-0.600079162139368,-0.6221416431822928,-0.6133702395768167,0.11397967798357206,236
162,0.10046639442443847,0.017632873882661125,0.026620769500732423,0.004174022973794433,0.1,3,1,scale,rbf,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.2653763531403115,-0.7624767146368153,-0.35037919749452556,-0.5046469310117085,-0.4446548709112546,-0.46550681343892314,0.1693897538935867,205
163,2.523668098449707,0.05779442851936846,0.464199161529541,0.00769233328309359,0.1,3,1,scale,sigmoid,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'sigmoid'}",-6.090003016160573,-13.990786674103221,-10.04130873944163,-14.257812531869108,-15.153519922191476,-11.906686176753201,3.39784153149157,313
164,0.10021343231201171,0.01606004773104786,0.00952305793762207,0.00169779828205879,0.1,3,1,auto,linear,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'linear'}",-0.23031150327835276,-0.33722575866677323,-0.34956538415144056,-0.4359428848703511,-0.3849112913365875,-0.34759136446070105,0.06791859314927504,156
165,0.37001309394836424,0.027056898265912326,0.03917927742004394,0.0029000989678631384,0.1,3,1,auto,poly,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'poly'}",-0.48664686553684605,-0.8219913984621241,-0.531148146995099,-0.5994143737117682,-0.6196688154629103,-0.6117739200337495,0.11538090920170262,230
166,0.10221409797668457,0.01694280318150562,0.02671060562133789,0.003957004111173547,0.1,3,1,auto,rbf,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'rbf'}",-0.2704492167635142,-0.7933425982715999,-0.3665040009926211,-0.5204643428435238,-0.46520424937216626,-0.4831928816486851,0.17707724938545413,209
167,2.577115058898926,0.06533603979007077,0.4875133991241455,0.005858598187838514,0.1,3,1,auto,sigmoid,"{'C': 0.1, 'degree': 3, 'epsilon': 1, 'gamma': 'auto', 'kernel': 'sigmoid'}",-10.641036904504213,-20.836520071622367,-16.020029515319273,-19.114714590530838,-21.571900672691196,-17.636840350933575,3.9865299561938885,325
168,1.3468438625335692,0.03860187157566275,0.1856938362121582,0.009380573662341752,0.1,4,0.01,scale,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",-0.1665564933604197,-0.28102815327758834,-0.2087167818896896,-0.4028794607016634,-0.3034706223859285,-0.2725303023230579,0.08163704250228412,71
169,1.6073202610015869,0.023139098604622613,0.22140164375305177,0.005223006723423662,0.1,4,0.01,scale,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",-0.6592418271731195,-1.5065552559465683,-0.8065968599564297,-0.6634206641931348,-0.9059341000176196,-0.9083497414573742,0.3131307482925161,264
170,1.630000400543213,0.03723594554156581,0.42661662101745607,0.016258350230661217,0.1,4,0.01,scale,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",-0.14226364782124293,-0.2852041821630719,-0.1475370075584598,-0.38024723741208744,-0.2926354144825218,-0.2495774978874768,0.09178926922471134,17
171,2.649056005477905,0.044293244489566064,0.5026957511901855,0.016444368881931605,0.1,4,0.01,scale,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",-6.1186567072901585,-14.012636337849102,-10.072245947310732,-14.34114590852128,-15.310679032791969,-11.971072786752648,3.429125706287729,317
172,1.3815326690673828,0.04840666738548261,0.1833730697631836,0.010574359200115525,0.1,4,0.01,auto,linear,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",-0.1665564933604197,-0.28102815327758834,-0.2087167818896896,-0.4028794607016634,-0.3034706223859285,-0.2725303023230579,0.08163704250228412,71
173,1.9265583992004394,0.14295816366029282,0.22006645202636718,0.006907078281167195,0.1,4,0.01,auto,poly,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'poly'}",-0.65902236317379,-1.482949801680876,-0.8022098725587812,-0.6674300416117456,-0.8982301286764042,-0.9019684415403194,0.3038210479653493,256
174,1.6269867897033692,0.026587511283283675,0.4255221843719482,0.012869772439736549,0.1,4,0.01,auto,rbf,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",-0.14346564526642663,-0.28863273880523216,-0.15171654142626356,-0.3827020481334421,-0.29978056687366494,-0.2532595081010059,0.09223503881614481,37
175,2.6646934509277345,0.06661859674893034,0.5083829879760742,0.004526177301954224,0.1,4,0.01,auto,sigmoid,"{'C': 0.1, 'degree': 4, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",-10.631941556635566,-20.796031007830894,-16.04250009999446,-19.22426188887636,-21.62365445183733,-17.66367780103492,4.000050152970574,329
